store_name,rating,review,reviewer_name
49 SEATS,5,no reviews,yeong kx
49 SEATS,5,wowowow great vibes and food!! super eccentric and unique,Hannah Eva
49 SEATS,5,no reviews,Rain
49 SEATS,5,no reviews,Nicolette David
49 SEATS,4,"we had the classic pasta and fish n chips with tom yum sauce. very huge portion of fish and the taste is good, the tom yum sauce is unique and with a handful of seafood. worth the try!",S dssp
49 SEATS,5,its an amazing restaurant with good vibes,Sanjith
49 SEATS,5,great atmosphere,Vivian L
49 SEATS,5,great atmosphere and vibes!,Jayden
49 SEATS,5,wonderful food and service!,Andy Lim
49 SEATS,5,"the atmosphere and service are excellent, enjoyed the food!",郑苡萱
49 SEATS,2,"resturant price, hawker center quality (the bland ones), not recomended.the food taste here have no depth, i ordered the marinara seafood pasta and the tomato paste taste like its from a can. the shrimp also taste not fresh. the chicken chop also have too much msg, like other comments here, its very salty. nice environment tho.",s z
49 SEATS,5,no reviews,Samantha Pradeep Rajarathna
49 SEATS,5,no reviews,Aiden Leong
49 SEATS,5,always enjoy my meal there. take note sometime it may be crowded.,AG Lee
49 SEATS,5,no reviews,chungus yeetumus
49 SEATS,5,"atmosphere here is great, food wise is also awesome",lee shaoxuan
49 SEATS,5,always coming back for tom yum pasta!!,Kai Ra
49 SEATS,5,its my first time here and the aglio oglio is amazing!!! can't wait to be back here again,Roxanna Song
49 SEATS,5,great food and atmosphere.,Pearlyn Tang
Restoran Todak (Orang Asli),3,super nice rustic place to have dinner. great value seafood!,Fauroni Sukhaimi
Restoran Todak (Orang Asli),4,no reviews,Soo Shiii
Restoran Todak (Orang Asli),4,no reviews,Mix May Song
Restoran Todak (Orang Asli),2,"poor attitude, normal food, arrogant personality the consumption will not be higher than that of restaurants. the service attitude is better than here.",Kheng poh Tan
Restoran Todak (Orang Asli),4,no reviews,Lim Ting
Restoran Todak (Orang Asli),5,no reviews,范明彬
Restoran Todak (Orang Asli),5,no reviews,JIE LONG CHANG
Restoran Todak (Orang Asli),3,no reviews,vijai
Restoran Todak (Orang Asli),3,"the price is average, the taste is ok, it is not particularly good or bad",Zen Hoo
Restoran Todak (Orang Asli),4,no reviews,Ypl Yeongpuilam
Restoran Todak (Orang Asli),5,"nice food! so crowded, the seafood very fresh except the clam a lot of sand.",Elyse J
Restoran Todak (Orang Asli),5,no reviews,Tin Naing Htut
Restoran Todak (Orang Asli),5,no reviews,Thomas Tan
Restoran Todak (Orang Asli),5,no reviews,Md Zaim Rasid
Restoran Todak (Orang Asli),5,no reviews,James Woon
Restoran Todak (Orang Asli),5,no reviews,Chew Ze You Kyler (Konghwasch)
Restoran Todak (Orang Asli),5,no reviews,meenakannan meenakannan
Restoran Todak (Orang Asli),5,no reviews,이 기연
49 SEATS,5,no reviews,js_hern
49 SEATS,5,great place to eat with friends,effie soon
49 SEATS,4,we loved the seafood carbonara pasta!,lilian chan
49 SEATS,5,no reviews,Mond Yue
49 SEATS,4,chill space to unwind after a long week. tom yam pasta is a crowd’s fav (not in frame) strongly recommend!,Hendrick
49 SEATS,5,no reviews,Retsuen Alexander Okada (Peircess)
49 SEATS,5,the service here is very good my food came very fast,Kyzen Goh
49 SEATS,5,very good and very nice emmanuel was a very good waiter,Zachary Zavian
49 SEATS,5,food very nice and service very good!,Garren Lim
49 SEATS,5,have been eating here since close to a decade ago and their tom yum seafood pasta never fails to deliver!!,Yong Xiang Toh
49 SEATS,5,"great food, great location, great ambience!",hello mark
49 SEATS,5,good tom yum pasta. more on sour side. nice cheese fries.,Juicy Stuff
49 SEATS,4,always love the tom yum seafood cream pasta!,R T
49 SEATS,5,no reviews,soulztur
49 SEATS,5,no reviews,Emily Tan
49 SEATS,5,great service,Darkange :3
49 SEATS,5,food is delicious! staffs are friendly! will be back.,Yih Ting Ng
49 SEATS,5,tom yam pasta spicy level 49 makes you want to come back,maritus aja
49 SEATS,5,the smoked duck pasta has always been my favourite and i’m happy to note that it’s as delicious as before!,Lydia Tan
49 SEATS,5,nice vibes and great pasta!,Rachel Leong
Restoran Todak (Orang Asli),2,"the location and environment are really good, but the food is a bit disappointed every time",tavie ha
Restoran Todak (Orang Asli),5,no reviews,Chia Jimmy
Restoran Todak (Orang Asli),4,delicious foods! my friends and i were having a good time here. all the food that we ordered was yummy. will come back for more!,Walter Wong
Restoran Todak (Orang Asli),5,no reviews,Brando Goh
Restoran Todak (Orang Asli),5,we went for dinner. busy as always. but still serve food at right time. they cook vegetarian food also.,Gomathy Rajandran
Restoran Todak (Orang Asli),4,good food. service depends on how crowded. no menu. you need to know what you want to eat. evening meals are better as you can sit next to the sea. getting there without a car is challenging.,Khaira Cheah
Restoran Todak (Orang Asli),5,no reviews,Soxian Yee
Restoran Todak (Orang Asli),4,no reviews,Andrew wang
Restoran Todak (Orang Asli),5,no reviews,panuchanart
Restoran Todak (Orang Asli),1,"super bad service, especially the attitude of the chinese waiters is very unfriendly! i owe them millions of sauce! i didn't introduce the menu after the food, and i blamed the customer for ordering the wrong order, and i didn't apologize. i ordered 5 kinds of food, and i came two dishes, and i only came two more dishes after i finished eating. after eating, i came the last dish and there was a smell around me.",wong Kx
Restoran Todak (Orang Asli),1,"i worked in a famous seafood restaurant in singapore where 90% diners came for chilli crab. came to try chilli crab in todak and we asked for 800-900gm crab. but when it was served, it looked much smaller than the requested size. it looked like 650-700gm only. i'm very certain they cheated on the weight of the crab.",Nikki Law
Restoran Todak (Orang Asli),1,"this is my first and last the food is bad, not recommended to friends",Jeslyn Gan
Restoran Todak (Orang Asli),4,no reviews,BEN KOH
Restoran Todak (Orang Asli),5,no reviews,Jasper Tan
Restoran Todak (Orang Asli),1,"went for lunch today , ordered a crab and a red leopard grouper with 2 bottles of beer . total coat rm415 for 2 pax . crab was terrible wrong due to only shell and not fresh , is totally not from what i picked from the display tank . fish was ok taste and no complaints. not the first time visit but this might be the last time . totally disappointed and not worth the time and effort travel there for such a dishonest restaurant.",Victor Foo
Restoran Todak (Orang Asli),4,come early before sunset for dinner if you want fresher & tastier seafood. lesser crowd as well. service was decent. overall experience was satisfying & affordable.,Felisciana Nyangun
